lag_1_scaled,lag_2_scaled,jumlah_scaled
0.09131604565044071,0.12415872969284303,0.12718774306218017
0.12718774306218017,0.09131604565044071,0.1219632820181682
0.1219632820181682,0.12718774306218017,0.11220117110109928
0.11220117110109928,0.1219632820181682,0.11059274152125775
0.11059274152125775,0.11220117110109928,0.11585313518804385
0.11585313518804385,0.11059274152125775,0.09256633304471618
0.09256633304471618,0.11585313518804385,0.11170587458358416
0.11170587458358416,0.09256633304471618,0.1540849121674177
0.1540849121674177,0.11170587458358416,0.11867598068710472
0.11867598068710472,0.1540849121674177,0.12931177020198348
0.12931177020198348,0.11867598068710472,0.11650107864574943
0.11650107864574943,0.12931177020198348,0.10299612011402348
0.10299612011402348,0.11650107864574943,0.04929408543845981
0.04929408543845981,0.10299612011402348,0.02566736619656318
0.02566736619656318,0.04929408543845981,0.02566736619656318
0.02566736619656318,0.02566736619656318,0.027600992930236767
0.027600992930236767,0.02566736619656318,0.004034390563793178
0.004034390563793178,0.027600992930236767,0.0
0.0,0.004034390563793178,0.00840827513335718
0.00840827513335718,0.0,0.011803683755959415
0.011803683755959415,0.00840827513335718,0.01632188631180087
0.01632188631180087,0.011803683755959415,0.03567728983866636
0.03567728983866636,0.01632188631180087,0.06341389481951487
0.06341389481951487,0.03567728983866636,0.07793779456214711
0.07793779456214711,0.06341389481951487,0.05435787558151506
0.05435787558151506,0.07793779456214711,0.0686077398335807
0.0686077398335807,0.05435787558151506,0.04273491730382584
0.04273491730382584,0.0686077398335807,0.011366137861199777
0.011366137861199777,0.04273491730382584,0.022188018859474523
0.022188018859474523,0.011366137861199777,0.05596787391661029
0.05596787391661029,0.022188018859474523,0.12398100490413144
0.12398100490413144,0.05596787391661029,0.1678431487650609
0.1678431487650609,0.12398100490413144,0.20412086702572618
0.20412086702572618,0.1678431487650609,0.26507807612428924
0.26507807612428924,0.20412086702572618,0.31266051276030615
0.31266051276030615,0.26507807612428924,0.39135762609882474
0.39135762609882474,0.31266051276030615,0.34500951121128653
0.34500951121128653,0.39135762609882474,0.3872338239826243
0.3872338239826243,0.34500951121128653,0.3899831940767855
0.3899831940767855,0.3872338239826243,0.38381241937989663
0.38381241937989663,0.3899831940767855,0.39297926358580004
0.39297926358580004,0.38381241937989663,0.44357187353403593
0.44357187353403593,0.39297926358580004,0.6445152520964392
0.6445152520964392,0.44357187353403593,0.7404583741664206
0.7404583741664206,0.6445152520964392,0.8092117814531632
0.8092117814531632,0.7404583741664206,0.8200688985312048
0.8200688985312048,0.8092117814531632,0.8462085968799988
0.8462085968799988,0.8200688985312048,1.0000000000000002
1.0000000000000002,0.8462085968799988,0.9769648533036721
0.9769648533036721,1.0000000000000002,0.806561168978803
0.806561168978803,0.9769648533036721,0.739552844401614
0.739552844401614,0.806561168978803,0.7647524984957663
0.7647524984957663,0.739552844401614,0.8067389677286803
0.8067389677286803,0.7647524984957663,0.7848211796128617
0.7848211796128617,0.8067389677286803,0.8082589641196061
0.8082589641196061,0.7848211796128617,0.8060522109112533
0.8060522109112533,0.8082589641196061,0.7795629012220828
0.7795629012220828,0.8060522109112533,0.7916706134739331
0.7916706134739331,0.7795629012220828,0.7882284148133005
0.7882284148133005,0.7916706134739331,0.7994860049319643
0.7994860049319643,0.7882284148133005,0.8142930303240392
0.8142930303240392,0.7994860049319643,0.8029504237916412
0.8029504237916412,0.8142930303240392,0.7904742650761178
0.7904742650761178,0.8029504237916412,0.819627810285873
0.819627810285873,0.7904742650761178,0.8791392998999539
